folders_reporting_id,id,parent_folder_id,name,path,is_root,tags,folder_ids,theme,metadata,address,code,locality,country,region,lat,long,created_at,updated_at,csv_errors,AccountPartyId,AccountStatus,ClientCompanyCode,FolderType,VendorAccountId,VendorId,kit_no,program_code,user_defined_field_1,user_defined_field_2,user_defined_field_3,user_defined_field_4,user_defined_field_5,notification_schema_list,emailURL,ClientCompanyPath,ClientCompanyURL,CompanyName,FAQPage,ParticipantionAgreementUrl,PhoneNumber,ProgramPath,SignupKeyDescription,SupportPage,companyLogo,wronglocation,deviceLocations,primaryColor,primaryTextColor,secondaryColor,secondaryTextColor,showLogo,supportNumber,test,account_number,create_membership,deactive_monnit,attributes_node_status,time_zone_abbreviation,gmt_offset
1,4899,4899,HSBRD,HSBRD/,True,,4899,"{""companyLogo"":""img/hsb-logo.png"",""emailURL"":""hsbrd.carbon.meshify.com"",""supportNumber"":""860-597-3434""}","{""account_number"":""research and dev"",""vendor_account_id"":""3420"",""vendor_id"":""2""}",1 State Street,06102,Hartford,USA,CT,41.765873,-72.668861,2018-01-10 21:08:59,2018-05-09 14:55:39,,,,,,3420,2,,,,,,,,,hsbrd.carbon.meshify.com,,,,,,,,,,img/hsb-logo.png,,,,,,,,860-597-3434,,research and dev,,,Active,EDT,-4.0
2,5031,4899,Local Pilots,HSBRD/Local Pilots/,False,,"4899,5031",{},"{""vendor_account_id"":""11006"",""vendor_id"":""2""}",1 State Street,06102,Hartford,USA,CT,41.76371,-72.685097,2018-01-23 13:48:28,2018-12-12 14:02:22,,,,,,11006,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,EDT,-4.0
3,5032,5123,One State St. Cafe,HSBRD/Local Pilots/Restaurants/One State St. Cafe/,False,,"4899,5031,5123,5032",{},{},1 State Street,06103,Hartford,USA,CT,41.7659448,-72.6690713,2018-01-23 17:05:22,2018-12-28 16:21:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Active,EDT,-4.0
4,5033,5123,Pazzo Cafe,HSBRD/Research and Development/Restaurants/Pazzo Cafe/,False,,"4899,5031,5123,5033","{""name"":""blank-theme""}","{""account_number"":""Pilot Pazzo Cafe"",""vendor_account_id"":""7525"",""vendor_id"":""2""}",377 Cromwell Ave,06067,Rocky Hill,USA,CT,41.6599767,-72.6791203,2018-01-23 17:05:53,2018-10-02 15:42:52,,,,,,7525,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot Pazzo Cafe,,,Active,EDT,-4.0
5,5034,5123,On20,HSBRD/Research and Development/Restaurants/On20/,False,,"4899,5031,5123,5034",{},"{""account_number"":""Pilot On20"",""vendor_account_id"":""9842"",""vendor_id"":""2""}",1 State Street,06103,Hartford,USA,CT,41.765945,-72.669075,2018-01-23 17:06:22,2018-01-24 19:14:39,,,,,,9842,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot On20,,,Active,EDT,-4.0
6,5035,5123,Vinted,HSBRD/Research and Development/Restaurants/Vinted/,False,,"4899,5031,5123,5035",{},"{""account_number"":""Pilot Vinted"",""vendor_account_id"":""10412"",""vendor_id"":""2""}",63 Memorial Rd,06107,West Hartford,USA,CT,41.759666,-72.739914,2018-01-23 17:06:27,2018-01-24 19:14:49,,,,,,10412,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot Vinted,,,Active,EDT,-4.0
7,5037,5123,Max Downtown,HSBRD/Research and Development/Restaurants/Max Downtown/,False,,"4899,5031,5123,5037",{},"{""account_number"":""Pilot Max Downtown"",""vendor_account_id"":""18743"",""vendor_id"":""2""}",185 Asylum St,06103,Hartford,United States,CT,41.766796,-72.676193,2018-01-23 17:06:46,2018-01-24 19:21:51,,,,,,18743,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot Max Downtown,,,Active,EDT,-4.0
8,5081,5031,Dry Cleaners,HSBRD/Research and Development/Dry Cleaners/,False,,"4899,5031,5081",{},"{""account_number"":""Dry Cleaners"",""vendor_account_id"":""20713"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.765945,-72.669075,2018-01-24 16:40:56,2018-01-24 19:12:52,,,,,,20713,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry Cleaners,,,Active,EDT,-4.0
9,5082,5081,Swiss Cleaners and Uniform Services,HSBRD/Local Pilots/Dry Cleaners/Swiss Cleaners and Uniform Services/,False,,"4899,5031,5081,5082",{},"{""account_number"":""Pilot Swiss Cleaners - Rockville"",""vendor_account_id"":""8042"",""vendor_id"":""2""}",35 Windsor Avenue,06066,Rockville,USA,CT,41.8667272,-72.468744,2018-01-24 16:41:28,2019-01-15 19:27:00,,,,,,8042,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot Swiss Cleaners - Rockville,,,Active,EDT,-4.0
10,5083,5082,Swiss Cleaners (Ellington),HSBRD/Local Pilots/Dry Cleaners/Swiss Cleaners and Uniform Services/Swiss Cleaners (Ellington)/,False,,"4899,5031,5081,5082,5083",{},"{""account_number"":""Pilot Swiss Cleaners - Ellington"",""vendor_account_id"":""8046"",""vendor_id"":""2""}",175 West Road,06029,Ellington,USA,CT,41.8937752,-72.4605221,2018-01-24 16:41:39,2019-01-15 19:44:31,,,,,,8046,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pilot Swiss Cleaners - Ellington,,,Active,EDT,-4.0
11,5123,5031,Restaurants,HSBRD/Local Pilots/Restaurants/,False,,"4899,5031,5123","{""ClientCompanyURL"":""https://www.erieinsurance.com/business-insurance"",""CompanyName"":""Restaurants"",""companyLogo"":""/img/erie.png"",""primaryColor"":""#005eb0"",""primaryTextColor"":""#fffff"",""secondaryColor"":""#fffff"",""secondaryTextColor"":""#005eb0""}","{""account_number"":""Dry Cleaners"",""vendor_account_id"":""20627"",""vendor_id"":""2""}",One State Street,06103,Hartford,USA,Connecticut,41.7659448,-72.6690713,2018-01-24 19:14:07,2019-03-12 15:00:20,,,,,,20627,2,,,,,,,,,,,https://www.erieinsurance.com/business-insurance,,,,,,,,/img/erie.png,,,#005eb0,#fffff,#fffff,#005eb0,,,,Dry Cleaners,,,Active,EDT,-4.0
