nodes_reporting_id,id,parent_node_id,unique_id,name,active,folder_id,node_type_id,archive_number,metadata,created_at,updated_at,csv_errors,heartbeat,application_id,device_location,device_location_note,vendor_device_id,vendor_id,order_status,functionName,functionVersion,iccid,model
1,10241,10241,39-30-32-35-4e-37-87-06,Motion 0.90 HSB Test,True,4899,191,0,{},2018-01-11 18:47:53,2018-01-11 18:47:53,,,,,,,,,,,,
2,10407,10407,mnt-168457,Kitchen - 168457,True,39319,187,0,"{""Heartbeat"":""10"",""application_id"":""0"",""device_location"":"""",""device_location_note"":"""",""vendor_device_id"":""168457"",""vendor_id"":""2""}",2018-01-23 17:13:51,2018-12-28 15:36:23,,10,0,,,168457,2,,,,,
3,10408,10408,mnt-189856,Comfort Reach-In - Temperature - WRT,True,39319,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Victory Reach-In 2"",""device_location_note"":"""",""vendor_device_id"":""189856"",""vendor_id"":""2""}",2018-01-23 17:14:22,2018-12-28 15:36:45,,15,2,Victory Reach-In 2,,189856,2,,,,,
4,10409,10409,mnt-189857,Parfait Reach-In - Temperature - WRT,True,39319,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Parfait Reach-In"",""device_location_note"":"""",""vendor_device_id"":""189857"",""vendor_id"":""2""}",2018-01-23 17:14:30,2018-12-28 15:36:57,,15,2,Parfait Reach-In,,189857,2,,,,,
5,10411,10411,mnt-189869,Walk-In Fridge - Temperature - WRT,True,39319,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Walk-In Fridge"",""device_location_note"":"""",""vendor_device_id"":""189869"",""vendor_id"":""2""}",2018-01-23 17:14:31,2018-12-28 15:40:27,,15,2,Walk-In Fridge,,189869,2,,,,,
6,10412,10412,mnt-189870,Walk-In Freezer - Temperature -WFT,True,39319,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Walk-In Freezer"",""device_location_note"":"""",""vendor_device_id"":""189870"",""vendor_id"":""2""}",2018-01-23 17:14:32,2018-12-28 15:40:41,,15,2,Walk-In Freezer,,189870,2,,,,,
7,10413,10413,mnt-189882,Back Kitchen Reach-in - Temperature - WRT,True,39319,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Back Kitchen Reach-In"",""device_location_note"":"""",""vendor_device_id"":""189882"",""vendor_id"":""2""}",2018-01-23 17:14:33,2018-12-28 15:41:32,,15,2,Back Kitchen Reach-In,,189882,2,,,,,
8,10414,10414,mnt-189883,Sandwich Display - Temperature,True,39319,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Sandwich Display"",""device_location_note"":"""",""vendor_device_id"":""189883"",""vendor_id"":""2""}",2018-01-23 17:14:33,2018-12-28 15:42:17,,15,2,Sandwich Display,,189883,2,,,,,
9,10416,10416,mnt-189907,Grill Walk-In - Temperature - WRT,True,39319,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Victory Reach-In 1"",""device_location_note"":"""",""vendor_device_id"":""189907"",""vendor_id"":""2""}",2018-01-23 17:14:35,2018-12-28 15:42:32,,15,2,Victory Reach-In 1,,189907,2,,,,,
10,10417,10417,mnt-189908,Action Reach-In - Temperature - WRT,True,39319,177,0,"{""Heartbeat"":""15"",""application_id"":""2"",""device_location"":""Victory Reach-In 4"",""device_location_note"":"""",""vendor_device_id"":""189908"",""vendor_id"":""2""}",2018-01-23 17:14:35,2018-12-28 15:42:54,,15,2,Victory Reach-In 4,,189908,2,,,,,
