device_id,folder-id,cnt,dt_min,dt_max,folder-name,account_number,device_location_note,name,x_activation_date,x_first_operation_date,datasources,device_ids,channel_names,current_date,heartbeat_interval,freq,end_datetime_training,ts_len,mse_threshold_train,nbr_days
mnt-164052,5237,191,2019-01-21 17:07:52+00:00,2019-01-25 13:51:33+00:00,Kane's Market,,,Polar Cooler Freezer - Temperature - WFT,2019-01-21 17:07:52+00:00,,mnubo_smartobjects,mnt-164052,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-168620,5267,368,2019-01-21 17:14:07+00:00,2019-01-25 13:40:12+00:00,Family Medicine Center,,,Private Vaccine Fridge - Top Black Refrigerator - Temperature - WRT,2019-01-21 17:14:07+00:00,,mnubo_smartobjects,mnt-168620,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-168633,5263,371,2019-01-21 17:10:16+00:00,2019-01-25 13:51:09+00:00,Difiore Ravioli Shop,,,Front Walk-In Freezer - Temperature - WFT,2019-01-21 17:10:16+00:00,,mnubo_smartobjects,mnt-168633,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-168645,5263,374,2019-01-21 17:10:16+00:00,2019-01-25 13:50:58+00:00,Difiore Ravioli Shop,,,Rear Walk-In Refrigerator - Temperature - WRT,2019-01-21 17:10:16+00:00,,mnubo_smartobjects,mnt-168645,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-169689,5254,361,2019-01-21 17:07:40+00:00,2019-01-25 13:48:33+00:00,Dr. Kevin P. McGrath MD,,,Refrigeration Air - Temperature - WRT,2019-01-21 17:07:40+00:00,,mnubo_smartobjects,mnt-169689,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-176174,5263,362,2019-01-21 17:10:16+00:00,2019-01-25 13:51:43+00:00,Difiore Ravioli Shop,,,New Refrigerator - Temperature - WRT,2019-01-21 17:10:16+00:00,,mnubo_smartobjects,mnt-176174,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-176185,19385,225,2019-01-21 17:25:49+00:00,2019-01-25 13:40:51+00:00,Chancery,,,Temperature - Cafe Freezer - 176185,2019-01-21 17:25:49+00:00,,mnubo_smartobjects,mnt-176185,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-176197,5267,384,2019-01-21 17:14:07+00:00,2019-01-25 13:40:12+00:00,Family Medicine Center,,,State Vaccine Fridge - Bottom Black Refrigerator - Temperature - WRT,2019-01-21 17:14:07+00:00,,mnubo_smartobjects,mnt-176197,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-194258,13148,141,2019-01-21 19:52:51+00:00,2019-01-25 13:22:51+00:00,St. Joseph Lexington Avenue,,,Temperature - Reach-In Refrigerator DeSent Right - 15 Lafayette Ave -194258,2019-01-21 19:52:51+00:00,,mnubo_smartobjects,mnt-194258,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
mnt-194267,5267,358,2019-01-21 17:03:51+00:00,2019-01-25 13:40:12+00:00,Family Medicine Center,,,Vaccine Freezer - Edge Star Freezer - Temperature - WFT,2019-01-21 17:03:51+00:00,,mnubo_smartobjects,mnt-194267,temp,2019-01-26,15T,12,2019-01-24,16,1e-07,14
